Title,Real GDP,Year-ended real GDP growth,Real non-farm GDP,Year-ended real non-farm GDP growth,Real farm GDP,Year-ended real GDP per capita growth,Real GDI,Year-ended real GDI growth,Nominal GDP,Year-ended nominal GDP growth,Terms of trade
1/09/2005,357642,3.1,348655,3.1,9781,1.5,328383,4.8,237915,7.3,70.8
1/12/2005,360394,3.1,350955,2.9,9375,1.8,332362,5.1,243671,8.3,71.2
1/03/2006,360767,2.5,351569,2.4,9862,1.8,336694,5.5,248845,8.7,73.1
1/06/2006,361594,2.2,352910,2.5,9603,1.1,338688,4.9,252000,8.1,74.9
1/09/2006,366981,2.6,358872,2.9,9045,0.9,339773,3.5,255092,7.2,75.1
1/12/2006,371675,3.1,364341,3.8,8357,1.1,345637,4,262535,7.7,76
1/03/2007,376825,4.5,369273,5,7446,1.6,352242,4.6,269460,8.3,78.3
1/06/2007,379333,4.9,371874,5.4,7677,2.7,359392,6.1,276532,9.7,80.7
1/09/2007,383604,4.5,375994,4.8,7564,3,361049,6.3,280438,9.9,80
1/12/2007,385175,3.6,377456,3.6,7732,2.6,364468,5.4,284884,8.5,79.3
1/03/2008,389046,3.2,380340,3,7854,1.7,367271,4.3,290475,7.8,80.7
1/06/2008,390328,2.9,381109,2.5,8971,1.3,373088,3.8,298050,7.8,83
1/09/2008,392977,2.4,383102,1.9,9549,0.9,380926,5.5,305692,9,89.8
1/12/2008,391350,1.6,381155,1,10263,0.3,388425,6.6,315452,10.7,95.3
1/03/2009,394957,1.5,385279,1.3,10609,-0.6,384742,4.8,316081,8.8,93.2
1/06/2009,397827,1.9,388344,1.9,10015,-0.6,383958,2.9,317219,6.4,88.5
1/09/2009,399179,1.6,389186,1.6,9773,-0.2,378547,-0.6,312782,2.3,79.9
1/12/2009,402219,2.8,392256,2.9,10399,-0.4,378234,-2.6,313833,-0.5,78.5
1/03/2010,403936,2.3,394501,2.4,10316,0.9,384322,-0.1,320915,1.5,81.9
1/06/2010,406577,2.2,396817,2.2,9600,0.6,390580,1.7,328354,3.5,86.7
1/09/2010,409344,2.5,399415,2.6,10006,0.6,403120,6.5,339895,8.7,96.5
1/12/2010,412821,2.6,402628,2.6,10217,1.1,406643,7.5,344798,9.9,98.2
1/03/2011,411518,1.9,401387,1.7,10548,1.2,412333,7.3,351279,9.5,100.8
1/06/2011,416775,2.5,406427,2.4,10477,0.5,415189,6.3,356625,8.6,106.5
1/09/2011,422471,3.2,412053,3.2,10725,1.1,422688,4.9,365661,7.6,108.7
1/12/2011,427027,3.4,416926,3.6,10773,1.7,430199,5.8,372465,8,110.4
1/03/2012,431099,4.8,420667,4.8,10345,1.8,430704,4.5,373044,6.2,105.6
1/06/2012,434262,4.2,424133,4.4,10742,3,430126,3.6,373918,4.8,100.3
1/09/2012,436775,3.4,426668,3.5,10345,2.4,432307,2.3,379405,3.8,99.4
1/12/2012,438872,2.8,428991,2.9,10311,1.6,430586,0.1,380153,2.1,95
1/03/2013,440847,2.3,430656,2.4,10023,1,431062,0.1,381711,2.3,93.4
1/06/2013,442586,1.9,431858,1.8,10394,0.5,433579,0.8,385091,3,94
1/09/2013,446167,2.2,435985,2.2,11042,0.2,435355,0.7,389762,2.7,94.4
1/12/2013,449767,2.5,439123,2.4,10376,0.5,436842,1.5,393815,3.6,92.2
1/03/2014,453176,2.8,442846,2.8,10896,0.9,441024,2.3,399880,4.8,92.9
1/06/2014,455338,2.9,445048,3.1,10511,1.2,442160,2,402888,4.6,90.6
1/09/2014,457366,2.5,447084,2.5,10455,1.4,441337,1.4,402925,3.4,87.6
1/12/2014,459033,2.1,448515,2.1,10435,1,439927,0.7,402676,2.3,84.5
1/03/2015,463243,2.2,452511,2.2,10713,0.6,439454,-0.4,405123,1.3,82.7
1/06/2015,463652,1.8,453057,1.8,10956,0.8,440223,-0.4,407786,1.2,80
1/09/2015,468435,2.4,458520,2.6,10789,0.4,438471,-0.6,407177,1.1,77.7
1/12/2015,471248,2.7,461694,2.9,10015,1,440550,0.1,411639,2.2,75.8
1/03/2016,475461,2.6,466081,3,9602,1.2,439328,0,411826,1.7,72.5
1/06/2016,478482,3.2,468511,3.4,9393,1.1,441428,0.3,414493,1.6,71
1/09/2016,478962,2.2,468798,2.2,10042,1.6,447158,2,419611,3.1,73.5
1/12/2016,483900,2.7,473092,2.5,10224,0.6,451446,2.5,425265,3.3,76.6
1/03/2017,485494,2.1,474088,1.7,10863,1,466626,6.2,439166,6.6,85
1/06/2017,488485,2.1,478025,2,11458,0.4,471973,6.9,447219,7.9,88.4
1/09/2017,493166,3,482265,2.9,10519,0.4,470226,5.2,446751,6.5,84.3
1/12/2017,495335,2.4,486011,2.7,10949,1.3,474832,5.2,452535,6.4,84.4
1/03/2018,500175,3,489985,3.4,9472,0.8,476855,2.2,455363,3.7,84.4
1/06/2018,504005,3.2,493198,3.2,10301,1.5,483325,2.4,464277,3.8,85.8
1/09/2018,506317,2.7,496118,2.9,10895,1.6,486796,3.5,469755,5.1,85.6
1/12/2018,507235,2.4,498320,2.5,10303,1.1,490806,3.4,477444,5.5,87
1/03/2019,510008,2,501060,2.3,9044,0.8,494703,3.7,482593,6,89.3
1/06/2019,512390,1.7,504078,2.2,9077,0.4,499095,3.3,489355,5.4,90.6
1/09/2019,516158,1.9,507532,2.3,8448,0.2,503926,3.5,495888,5.6,92.5
1/12/2019,518390,2.2,510183,2.4,8753,0.4,509485,3.8,503976,5.6,93.8
1/03/2020,517516,1.5,509535,1.7,8328,0.7,505969,2.3,502743,4.2,89.7
1/06/2020,482850,-5.8,475417,-5.7,8102,0,505239,1.2,505087,3.2,89.8
1/09/2020,501568,-2.8,493592,-2.7,7549,-6.9,470416,-6.6,466095,-6,89
1/12/2020,517709,-0.1,506534,-0.7,8089,-3.6,491010,-3.6,488464,-3.1,90.8
1/03/2021,528559,2.1,517228,1.5,11136,-0.6,512722,1.3,511158,1.7,95.6
1/06/2021,532583,10.3,520927,9.6,11300,2.1,532855,5.5,533333,5.6,103.3
1/09/2021,522168,4.1,509347,3.2,11613,10.2,543832,15.6,547087,17.4,109.6
1/12/2021,541273,4.6,527135,4.1,12821,3.8,534836,8.9,545989,11.8,111.1
1/03/2022,544364,3,531362,2.7,14138,4,546072,6.5,563583,10.3,104.2
1/06/2022,549274,3.1,535851,2.9,13002,2.1,558959,4.9,587758,10.2,113
1/09/2022,553036,5.9,539863,6,13423,2,570624,4.9,611328,11.7,118.1
1/12/2022,555690,2.7,542871,3,13173,4.2,566449,5.9,618436,13.3,111.1
1/03/2023,,,,,12819,0.8,570026,4.4,631402,12,111.7
1/06/2023,,,,,,,,,,,
1/09/2023,,,,,,,,,,,
